facility_id,city,state,year,industry_type,co2_emissions,unit_methane_emissions,unit_nitrous_oxide_emissions
1007820,WEST PALM BEACH,FL,2021,"C,HH",9340.3,17.25,35.462
1007892,WELLFORD,SC,2021,"C,HH",16.7,0.0,0.0
1000410,ESCONDIDO,CA,2021,D,327888.6,152.0,181.78
1003134,PAMPA,TX,2021,"C,X",22787.3,10.75,12.814
1011453,Sherman,TX,2021,"C,D",3606.1,1.75,2.086
1011554,Temple,TX,2021,"C,D",3240.6,1.5,1.788
1003193,ALVA,OK,2021,"C,W",1910.5,1.0,1.192
1003194,CASHION,OK,2021,"C,W",11085.6,5.25,6.258
1003062,CENTRALIA,MO,2021,"C,W",22532.9,10.5,12.516
1003152,MONROEVILLE,IN,2021,"C,W",1814.0,0.75,0.894
1003153,GLENARM,IL,2021,"C,W",3026.7,1.5,1.788
1003064,HAVEN,KS,2021,"C,W",33060.4,15.5,18.476
1003106,LAMONTE,MO,2021,"C,W",1647.4,0.75,0.894
1003068,LIBERAL,KS,2021,"C,W",26929.4,12.75,15.198
1003069,LOUISBURG,KS,2021,"C,W",13711.5,6.5,7.748
1003109,OLPE,KS,2021,"C,W",1847.7,0.75,0.894
1003111,PLEASANT HILL,IL,2021,"C,W",3276.7,1.5,1.788
1003113,TUSCOLA,IL,2021,"C,W",9360.2,4.5,5.364
1003070,INDIANAPOLIS,IN,2021,"C,W",1854.4,0.75,0.894
1000546,FIRBAUGH,CA,2021,D,78855.4,36.5,44.7
1003287,Carthage,TX,2021,"C,W",51456.2,24.25,28.906
1010312,CARTHAGE,TX,2021,"C,W",1643.9,0.75,0.894
1001252,NESQUEHONING,PA,2021,C,80480.88,290.25,486.634
1013957,Coalgate,OK,2021,"C,W",36101.8,17.0,20.264
1012901,Rankin,TX,2021,"C,W",69496.8,32.75,39.038
1000427,WABASH,IN,2021,C,57215.6,27.0,32.184
1013281,Kapolei,HI,2021,"C,P,Y",0.0,0.0,0.0
1005830,DRAKESBORO,KY,2021,"C,D",2285.6,1.075,1.192
1001108,UNION GROVE,WI,2021,"C,D",31682.8,16.0,23.84
1000472,PARIS,TX,2021,D,134134.5,62.25,74.5
1006617,PARIS,TX,2021,C,46031.2,21.75,25.926
1007716,BRONX,NY,2021,C,48281.7,23.75,30.098
1009064,Pasadena,TX,2021,C,29948.5,14.0,16.688
1001300,PASADENA,TX,2021,"C,D",9986.0,4.75,5.662
1014138,Pasadena,TX,2021,C,24606.8,12.75,18.178
1005903,PASADENA,TX,2021,"C,MM,Y",24196.7,33.0,78.672
1003360,MOSS POINT,MS,2021,"C,W",0.0,0.0,0.0
1001215,NEWARK,NJ,2021,C,32686.1,15.5,18.476
1000133,LEBEC,CA,2021,D,590703.0,248.75,298.0
1001771,GREENVILLE,NC,2021,C,25610.7,12.0,14.304
1006469,ANNAWAN,IL,2021,"C,II",186952.7,88.25,105.492
1003094,Patterson,LA,2021,"C,W",26496.6,12.5,14.9
1007844,PAULSBORO,NJ,2021,"C,MM,P,Y",83149.9,117.25,279.524
1001048,Brush,CO,2021,"C,D",3165369.8,832.0,15898.3
1013646,DAVENPORT,IA,2021,C,24162.0,11.5,13.708
1005968,Milwaukie,OR,2021,C,19353.7,9.0,10.728
1003489,GEISMAR,LA,2021,"C,G,PP,V",418676.3,197.25,235.122
1004340,AUGUSTA,GA,2021,"C,G,PP,V",395468.7,188.5,224.692
1002229,Lima,OH,2021,"C,G,PP,V",452555.3,213.25,254.194
1006242,AURORA,NC,2021,"C,Z",0.0,0.0,0.0
1003243,SPRING HILL,FL,2021,"C,HH",124772.88,2743.0,4291.498
1002500,PACE,FL,2021,C,96379.9,45.5,54.236
1003151,PEARL RIVER,NY,2021,C,75292.0,35.5,42.316
1004104,PEARSALL,TX,2021,C,8524.0,4.0,4.768
1010424,Temecula,CA,2021,C,0.0,0.0,0.0
1010046,Sebastopol,MS,2021,"C,II",6030.5,2.75,3.278
1014021,Pocahontas,AR,2021,"C,II",1856.8,0.75,0.894
1013079,Pecos,TX,2021,"C,W",116866.6,54.75,65.262
1014335,Orla,TX,2021,"C,W",467.7,0.5,1.192
1011930,Pecos,TX,2021,"C,W",83271.7,38.75,46.19
1013681,Sonora,TX,2021,"C,W",23591.6,11.0,13.112
1001202,PEDRICKTOWN,NJ,2021,"C,D",22711.0,10.75,11.92
1002668,MIDKIFF,TX,2021,"C,W",33570.5,15.75,18.774
1001236,ARCHBALD,PA,2021,"C,D",30731.3,14.0,17.88
1011558,MIDKIFF,TX,2021,"C,W",31144.93643,14.67439523,17.49187911
1001751,University Park,PA,2021,C,10050.4,5.25,6.556
1006246,HERSHEY,PA,2021,C,36831.7,17.25,20.562
1000429,PENNSAUKEN,NJ,2021,"C,HH",22.8,0.0,0.0
1003637,Clearfield,PA,2021,"C,II",162383.8,76.5,91.188
1000151,BOWLING GREEN,MO,2021,D,2419.7,1.0,0.0
1000047,ORRINGTON,ME,2021,C,255.2,0.25,0.596
1003133,BIRCH RUN,MI,2021,"C,HH",53.8,0.0,0.0
1014374,Moon Township,PA,2021,C,6292.0,3.0,3.576
1003986,BRIMFIELD,IL,2021,"C,HH",484.6,0.5,1.49
1002715,Salisbury,MD,2021,C,41779.0,19.75,23.542
1002713,Chesapeake,VA,2021,C,31074.3,14.75,17.582
1002737,LEWISTON,NC,2021,"C,II",7384.0,3.75,4.768
1002710,ACCOMAC,VA,2021,"C,II",10415.0,11.75,27.714
1009512,Georgetown,DE,2021,"C,II",6821.8,3.25,4.172
1013786,Orla,TX,2021,"C,W",32006.59703,15.0803793,17.97581213
1006340,PERHAM,MN,2021,C,9414.8,4.5,5.364
1007155,MONAHANS,TX,2021,C,8485.4,7.25,17.88
1000644,PERRYMAN,MD,2021,D,47611.7,29.75,41.72
1007305,STERLINGTON,LA,2021,"C,D",418289.4,194.0,232.44
1006782,East Waterford,PA,2021,"C,W",9928.2,4.75,5.662
1009496,Point Comfort,TX,2021,C,375342.1,176.75,210.686
1002994,RAPID CITY,SD,2021,"C,S",91988.9,258.5,447.894
1001536,PETERSBURG,IN,2021,D,2441932.6,7214.75,12635.2
1003670,NORTH POLE,AK,2021,"C,MM,Y",683.1,0.75,1.788
1005997,VALDEZ,AK,2021,"C,MM,P,Y",31367.9,38.25,91.188
1003045,Killdeer,ND,2021,"C,NN,W",25167.8,11.75,14.006
1006941,GROTON,CT,2021,C,9665.7,4.5,5.364
1004343,ANDOVER,MA,2021,C,2570.7,1.25,1.49
1000439,Burney,CA,2021,"C,W",20.4,0.0,0.0
1007173,Maxwell,CA,2021,"C,D",450737.1,209.0,250.32
1006434,Maxwell,CA,2021,"C,W",32691.4,15.5,18.476
1007469,ANTIOCH,CA,2021,"C,D",3.2,0.0,0.596
1006265,GERBER,CA,2021,"C,W",51666.6,24.25,28.906
1004272,HINKLEY,CA,2021,"C,W",289.6,0.25,0.298
1007411,EUREKA,CA,2021,C,256742.5,121.75,146.616
1004068,AVENAL,CA,2021,"C,W",17358.9,8.25,9.834
1007536,Tionesta,CA,2021,"C,W",179.4,0.0,0.0
1004069,NEEDLES,CA,2021,"C,W",32829.7,15.5,18.476
1002606,KALAMAZOO,MI,2021,C,548.9,0.5,1.192
1007726,Bristol,WI,2021,"C,HH",0.0,0.0,0.0
1002197,EL PASO,TX,2021,C,98958.0,46.75,55.726
1001261,PHILADELPHIA,PA,2021,"C,MM,Y",39541.4,19.25,22.946
1003051,BALTIMORE,MD,2021,C,1323.4,1.25,3.278
1003707,Richmond,VA,2021,C,6699.0,3.25,3.874
1006268,CHESTER,VA,2021,C,745.1,0.25,0.298
1004305,LINDEN,NJ,2021,"C,MM,P,Y",9692.3,14.0,33.376
1007506,BILLINGS,MT,2021,"C,MM,P,Y",23527.9,32.25,76.884
1001824,BELLE CHASSE,LA,2021,"C,MM,Y",1576.0,0.75,0.894
1006012,WESTLAKE,LA,2021,"C,MM,Y",110727.9,150.0,357.302
1008018,FERNDALE,WA,2021,"C,MM,Y",101.3,0.0,0.298
1001964,CARSON,CA,2021,"C,MM,P,PP,Y",1603.6,2.25,5.364
1006843,WILMINGTON,CA,2021,"C,P,PP,Y",609.8,0.75,2.086
1012469,Old Ocean,TX,2021,"C,NN,W",369.9,0.25,0.298
1001920,Ponca City,OK,2021,"C,MM,P,Y",144558.3,229.0,545.936
1006099,ARROYO GRANDE,CA,2021,"C,MM,Y",147823.7,165.5,376.076
1003643,CLARKDALE,AZ,2021,"C,H",654.5,0.25,0.298
1007196,Wickliffe,KY,2021,"AA,C,PP,TT",56443.7,103.25,233.632
1013843,Fredericksburg,TX,2021,"C,W",137489.7,64.75,77.182
1013841,Big Lake,TX,2021,"C,W",131491.1,62.0,73.904
1013840,Coyanosa,TX,2021,"C,W",161122.7,76.0,90.592
1013842,McKavett,TX,2021,"C,W",135548.8,63.75,75.99
1013844,Moulton,TX,2021,"C,W",146300.0,69.0,82.248
1012168,Rochester,PA,2021,"C,W",33713.5,16.0,19.072
1006383,WAVERLY,OH,2021,"C,HH",31.7,0.0,0.0
1006356,MOUNT PLEASANT,TX,2021,C,60276.5,28.5,33.972
1011751,Moorefield,WV,2021,C,11057.5,5.25,6.258
1011277,TIMBERVILLE,VA,2021,C,23741.5,11.25,13.41
1004072,OTTAWA,IL,2021,"C,N",72159.3,34.0,40.528
1003849,LAURINBURG,NC,2021,"C,N",92144.5,43.5,51.852
1002499,ROSSFORD,OH,2021,"C,N",138544.6,65.25,77.778
1001362,PINCKNEYVILLE,IL,2021,"C,D",13476.8,6.25,8.94
1002059,INVER GROVE HEIGHTS,MN,2021,"C,HH",42.6,0.0,0.0
